caps,is_text_in_left,is_center,is_text_in_right,is_txt_dwn_head,is_txt_up_head,is_bold,is_word_num,is_left_algnd,IsColonEnd,relative_text_height,black_percent,avg_word_height,avg_word_width,thickness,is_header
0,1,0,1,1,0,0,0,0,0,0.026315789,0.5,0.028169014,0.004411765,0,0
0,1,0,1,1,0,0,0,0,0,0.026315789,0.5,0.028169014,0.004411765,0,0
0,1,0,1,1,0,0,0,0,0,0.026315789,0.5,0.028169014,0.005882353,0,0
0,1,0,1,1,0,0,0,0,0,0.026315789,0.5,0.028169014,0.014705882,0,0
0,0,0,1,1,0,0,0,0,0,0.026315789,0.5,0.028169014,0.007352941,0,0
0,0,0,1,1,0,0,0,0,0,0.092105263,0.517241379,0.042253521,0.042647059,0,0
0,0,0,1,1,0,0,1,0,0,0.013157895,0.4,0.014084507,0.007352941,0,0
0,0,0,1,1,0,0,0,0,0,0.078947368,0.5,0.028169014,0.005882353,0,0
0,0,0,1,1,0,0,1,0,0,0.092105263,0.363636364,0.042253521,0.016176471,0,0
0,0,0,1,0.833333333,0,0,0,0,0,0.223684211,0.327272727,0.070422535,0.064705882,0.083333333,0
0,0,0,1,0.833333333,0,0,0,0,1,0.302631579,0.466816648,0.197183099,0.186764706,0.291666667,0
0,1,0,1,0.166666667,0,0,0,0,0,0.421052632,0.25462963,0.38028169,0.011764706,0.083333333,0
0,0,0,1,0.333333333,0,0,1,0,0,0.513157895,0.29,0.352112676,0.011764706,0.083333333,0
0,0,0,1,0.5,0.571428571,0,0,0,1,0.355263158,0.242222222,0.211267606,0.044117647,0.125,0
0,0,0,1,0.5,0.285714286,0,0,0,0,0.355263158,0.343665768,0.197183099,0.467647059,0.208333333,0
0,1,0,1,0.5,0.857142857,0,0,0,1,0.368421053,0.444297082,0.183098592,0.341176471,0.291666667,0
0,1,0,0,0.333333333,0.142857143,0,0,0,0,0.421052632,0.331168831,0.309859155,0.010294118,0.166666667,0
0,1,0,1,0.666666667,0.428571429,0,0,0,0,0.144736842,0.402046784,0.042253521,0.335294118,0,0
0,0,0,1,0.5,0.428571429,0,0,0,0,0.355263158,0.34503632,0.197183099,0.347058824,0.166666667,0
0,1,0,1,0.5,0.142857143,0,0,0,0,0.473684211,0.295238095,0.422535211,0.010294118,0.083333333,0
0,1,0,1,0.666666667,0.428571429,0,0,0,0,0.105263158,0.406468531,0.056338028,0.420588235,0,0
0,1,1,1,1,0.571428571,0,0,0,0,0.039473684,0.222222222,0.042253521,0.004411765,0,0
0,0,0,1,0.666666667,0.285714286,0,0,0,0,0.355263158,0.050617284,0.38028169,0.044117647,0.083333333,0
0,0,0,1,0.666666667,0.428571429,0,0,0,0,0.394736842,0.311554622,0.197183099,1,0.166666667,0
0,0,0,0,0.5,0.428571429,0,0,0,1,0.434210526,0.438198064,0.23943662,0.464705882,0.416666667,1
0,0,0,1,1,0.428571429,0,0,0,0,0.578947368,0.242543171,0.394366197,0.535294118,0.25,0
0,1,0,1,1,1,0,0,0,0,0.052631579,0.45,0.028169014,0.014705882,0,0
0,1,0,1,1,1,0,0,0,0,0.026315789,0.47826087,0.028169014,0.033823529,0,0
0,1,0,1,1,1,0,0,0,0,0.526315789,0.353430353,0.183098592,0.272058824,0.291666667,0
0,1,0,0,1,1,0,0,0,0,0.026315789,0.6,0.028169014,0.007352941,0,0
0,1,0,1,0.166666667,0.142857143,0,1,0,0,0.723684211,0.324404762,0.676056338,0.010294118,0.083333333,0
0,0,0,1,0.166666667,0.571428571,0,0,0,0,0.276315789,0.47275641,0.183098592,0.070588235,0.291666667,0
0,0,0,1,0.166666667,0.714285714,0,0,0,0,0.078947368,0.34375,0.056338028,0.011764706,0,0
0,1,0,1,1,0.714285714,0,0,0,0,0.105263158,0.413043478,0.042253521,0.202941176,0,0
0,0,0,1,1,0.857142857,0,0,0,0,0.026315789,0,0.028169014,0.002941176,0,0
