caps,is_text_in_left,is_center,is_text_in_right,is_txt_dwn_head,"is_txt_up_head,is_bold",is_word_num,is_left_algnd,IsColonEnd,relative_text_height,black_percent,avg_word_height,avg_word_width,thickness,is_header
0,1,0,1,1,0,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.004411764705882353,0.0,0
0,1,0,1,1,0,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.004411764705882353,0.0,0
0,1,0,1,1,0,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.005882352941176471,0.0,0
0,1,0,1,1,0,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.014705882352941176,0.0,0
0,0,0,1,1,0,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.007352941176470588,0.0,0
0,0,0,1,1,0,0,0,0,0,0.09210526315789473,0.5172413793103449,0.04225352112676056,0.042647058823529406,0.0,0
0,0,0,1,1,0,0,1,0,0,0.013157894736842105,0.4,0.014084507042253521,0.007352941176470588,0.0,0
0,0,0,1,1,0,0,0,0,0,0.07894736842105263,0.5,0.028169014084507043,0.005882352941176471,0.0,0
0,0,0,1,1,0,0,1,0,0,0.09210526315789473,0.36363636363636365,0.04225352112676056,0.016176470588235296,0.0,0
0,0,0,1,0.8333333333333334,0,0,0,0,0,0.2236842105263158,0.32727272727272727,0.07042253521126761,0.06470588235294118,0.08333333333333333,0
0,0,0,1,0.8333333333333334,0,0,0,0,1,0.3026315789473684,0.4668166479190101,0.19718309859154928,0.18676470588235294,0.2916666666666667,0
0,1,0,1,0.16666666666666666,0,0,0,0,0,0.42105263157894735,0.25462962962962965,0.38028169014084506,0.011764705882352943,0.08333333333333333,0
0,0,0,1,0.3333333333333333,0,0,1,0,0,0.5131578947368421,0.29,0.352112676056338,0.011764705882352943,0.08333333333333333,0
0,0,0,1,0.5,0.5714285714285714,0,0,0,1,0.35526315789473684,0.24222222222222223,0.2112676056338028,0.04411764705882353,0.125,0
0,0,0,1,0.5,0.2857142857142857,0,0,0,0,0.35526315789473684,0.3436657681940701,0.19718309859154928,0.4676470588235294,0.20833333333333334,0
0,1,0,1,0.5,0.8571428571428571,0,0,0,1,0.3684210526315789,0.4442970822281167,0.18309859154929578,0.34117647058823525,0.2916666666666667,0
0,1,0,0,0.3333333333333333,0.14285714285714285,0,0,0,0,0.42105263157894735,0.33116883116883117,0.30985915492957744,0.010294117647058823,0.16666666666666666,0
0,1,0,1,0.6666666666666666,0.42857142857142855,0,0,0,0,0.14473684210526316,0.402046783625731,0.04225352112676056,0.3352941176470588,0.0,0
0,0,0,1,0.5,0.42857142857142855,0,0,0,0,0.35526315789473684,0.3450363196125908,0.19718309859154928,0.3470588235294118,0.16666666666666666,0
0,1,0,1,0.5,0.14285714285714285,0,0,0,0,0.47368421052631576,0.29523809523809524,0.4225352112676056,0.010294117647058823,0.08333333333333333,0
0,1,0,1,0.6666666666666666,0.42857142857142855,0,0,0,0,0.10526315789473684,0.40646853146853146,0.056338028169014086,0.42058823529411765,0.0,0
0,1,1,1,1,0.5714285714285714,0,0,0,0,0.039473684210526314,0.2222222222222222,0.04225352112676056,0.004411764705882353,0.0,0
